Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2011,12,1,2973 16TH ST,Yoga to the People,16TH ST,ROADWAY,4,8,,"(37.764848948, -122.419029009)"
2011,12,2,3692 18TH ST,Bi-Rite Creamery,18TH ST,ROADWAY,7,14,,"(37.7615859477, -122.425715008)"
2011,12,3,78 29TH ST,Cafe Seventy8,29TH ST,ROADWAY,6,12,,"(37.7442740083, -122.421343708)"
2011,12,4,1833 FILLMORE ST,Women's Community Clinic,FILLMORE,ROADWAY,6,12,,"(37.7864889475, -122.433649009)"
2011,12,5,1632 HAIGHT ST,FTC Skateboarding,HAIGHT,ROADWAY,5,10,,"(37.7700049481, -122.449201008)"
2011,12,6,2401 HARRISON ST,Flour & Water Restaurant,HARRISON,ROADWAY,5,10,,"(37.7589229478, -122.412185009)"
2011,12,7,1755 POLK ST,"Crepe House, The",POLK,ROADWAY,5,10,,"(37.793037948, -122.421381008)"
2011,12,8,2064 POWELL ST,Citizen Chain Cyclery,POWELL,ROADWAY,3,6,,"(37.8038229177, -122.411252809)"
2011,12,9,1234 VALENCIA ST,Yoga Tree,VALENCIA,ROADWAY,5,10,,"(37.753104948, -122.421046009)"
2011,12,10,1270 VALENCIA ST,Heart Wine Bar and Arizmendi,VALENCIA,ROADWAY,6,12,,"(37.7525459482, -122.421014009)"
2013,1,11,3049 20TH ST,Atlas Cafe,ALABAMA,ROADWAY,5,10,,"(37.758861948, -122.411406009)"
2013,1,12,185 CLARA ST,startupHQ,CLARA,ROADWAY,5,10,,"(37.7796129475, -122.401682009)"
2013,1,13,1900 FOLSOM ST,Truck,FOLSOM,ROADWAY,7,14,,"(37.7667949481, -122.415783009)"
2013,1,14,2700 16TH ST,Dear Mom,HARRISON,ROADWAY,9,18,,"(37.7656989483, -122.413521009)"
2013,3,15,450 RHODE ISLAND ST,Whole Foods,Rhode Island,ROADWAY,12,24,,"(37.7641129482, -122.402987008)"
2013,4,16,780 STANYAN ST,Yoga Tree,Stanyan,ROADWAY,5,10,,"(37.7677829477, -122.452882009)"
2013,6,17,3000 20TH ST,Central Kitchen,20TH ST,ROADWAY,5,10,,"(37.7593249483, -122.411282009)"
2013,6,18,300 PAGE ST,San Francisco Zen Center,PAGE,ROADWAY,6,12,,"(37.7738839481, -122.426055009)"
2013,6,19,1432 VALENCIA ST,Pi Bar,Valencia,ROADWAY,5,10,,"(37.7499079479, -122.420748009)"
2013,8,20,3316 22ND ST,Little Tree Studios,22ND ST,ROADWAY,5,10,,"(37.7554759477, -122.421451009)"
2013,8,21,85 CARL ST,Urban Mercantile and Vierra & Friends,CARL,ROADWAY,3,6,,"(37.7655989481, -122.449515008)"
2013,9,22,2301 FOLSOM ST,"Homestead, The",FOLSOM,ROADWAY,5,10,,"(37.7603959483, -122.414516008)"
2013,8,23,2211 MISSION ST,Gracias Madre,MISSION,ROADWAY,4,8,,"(37.7615489479, -122.418976009)"
2013,12,24,2814 19TH ST,Universal Cafe,19TH ST,ROADWAY,6,12,,"(37.7606289181, -122.410647009)"
2013,12,25,739 BRYANT ST,Shared LLC,BRYANT ST,ROADWAY,5,10,,"(37.7768779479, -122.400934008)"
2013,12,26,1225 FOLSOM ST,Driftwood,FOLSOM,ROADWAY,7,14,,"(37.7744729477, -122.410297009)"
2013,12,27,34 MASON ST,Barbary Coast and Mikkeller,MASON,ROADWAY,6,12,,"(37.7839759476, -122.408981009)"
2014,5,28,1543 MISSION ST,Urban Flow Yoga Studio,MISSION,ROADWAY,9,18,,"(37.7734809478, -122.417716009)"
2013,12,29,2140 MISSION ST,"Sycamore, The",MISSION,ROADWAY,5,10,,"(37.7627849483, -122.419734009)"
2014,5,30,620 TREAT AVE,Southern Pacific Brewing,TREAT,ROADWAY,6,12,,"(37.7601109476, -122.414118009)"
2013,12,31,3150 18TH ST,ActivSpace and Treat Street Bicycle Works,TREAT AVE,ROADWAY,5,10,,"(37.7626989481, -122.414256008)"
2013,12,32,1199 VALENCIA ST,Beretta,VALENCIA,ROADWAY,4,8,,"(37.7538479478, -122.420553008)"
2014,5,33,736 VALENCIA ST,Mission Cheese,VALENCIA,ROADWAY,6,12,,"(37.7611279475, -122.421841008)"
2014,5,34,3417 18TH ST,Linea Caffe,18TH ST,ROADWAY,5,10,,"(37.7616059478, -122.419761008)"
2014,1,35,85 CARL ST,Urban Mercantile and Vierra & Friends,CARL,ROADWAY,2,4,,"(37.7655989481, -122.449515008)"
2014,4,36,2295 HARRISON ST,Mission Cliffs,HARRISON,ROADWAY,8,54,,"(37.7609159477, -122.412334008)"
2014,12,37,4634 03RD ST,VeloBrews Cafe & Cycling Community Center,03RD ST,ROADWAY,5,10,,
2014,12,38,2760 24TH ST,Dynamo Donut and Coffee,24TH ST,ROADWAY,5,10,,"(37.7531169477, -122.407633008)"
2014,12,39,666 CHENERY ST,fitGLENfit,CHENERY,ROADWAY,5,10,,"(37.7347649482, -122.433441009)"
2014,12,40,748 INNES AVE,Archimedes Banya SF,INNES,ROADWAY,5,10,,"(37.7305666979, -122.372704809)"
2014,12,41,200 COLUMBUS AVE,Reveille Coffee,KEARNY,ROADWAY,5,10,,"(37.7973599482, -122.405560009)"
2014,12,42,3438 MISSION ST,Cafe St. Jorge,MISSION ST,ROADWAY,5,10,,"(37.7416679481, -122.422726009)"
2014,12,43,1096 SOUTH VAN NESS AVE,Urban Putt,SOUTH VAN NESS,ROADWAY,5,10,,"(37.7557062984, -122.416879108)"
2014,12,44,234 TOWNSEND ST,"Les Clos, Durso Deli",TOWNSEND,ROADWAY,5,10,,"(37.7782649482, -122.393882009)"
2010,12,45,494 14TH ST,Box Dog Bikes and Thieve's Tavern,14TH ST,ROADWAY,5,10,,"(37.7682149483, -122.424173009)"
2012,6,46,3621 18TH ST,Delfina,18TH ST,ROADWAY,6,12,,"(37.7613619477, -122.424189009)"
2012,6,47,3242 22ND ST,Escape from New York Pizza,22ND ST,ROADWAY,6,12,,"(37.7555269477, -122.419552009)"
2011,3,48,520 CLEMENT ST,Green Apple Books,CLEMENT,ROADWAY,5,10,,"(37.7831889482, -122.464885008)"
2011,1,49,1745 FOLSOM ST,Rainbow Grocery,FOLSOM,ROADWAY,8,16,,"(37.7691089483, -122.415058008)"
2005,0,50,24 GROVE ST,SF Main Library,GROVE,ROADWAY,19,38,,"(37.7791590782, -122.415807909)"
2014,5,51,1398 HAIGHT ST,Magnolia Brewery,HAIGHT,ROADWAY,3,6,,"(37.7704026977, -122.445129908)"
2011,3,52,1324 HAIGHT ST,Braindrops,HAIGHT,ROADWAY,4,8,,"(37.7705939483, -122.444173008)"
2011,3,53,448 HAIGHT ST,Rooky Ricardo's Records,HAIGHT,ROADWAY,6,12,,"(37.7724879475, -122.429703009)"
2010,12,54,506 HAYES ST,Timbuk2,HAYES,ROADWAY,6,12,,"(37.7768159475, -122.424912009)"
2010,12,55,1233 HOWARD ST,Mike's Bikes,HOWARD,ROADWAY,6,12,,"(37.7756239481, -122.411781008)"
2012,9,56,754 POST ST,farm:table,POST,ROADWAY,2,4,,"(37.7878259482, -122.414330009)"
2010,12,57,155 SOUTH PARK,The Butler & The Chef,SOUTH PARK AVE,ROADWAY,6,12,,"(37.7808979476, -122.394214009)"
2010,5,58,1299 VALENCIA ST,Valencia Farmer's Market,VALENCIA,ROADWAY,4,8,,"(37.7522467982, -122.420374309)"
2010,5,59,985 VALENCIA ST,Dosa,VALENCIA,ROADWAY,6,12,,"(37.7572239477, -122.420850009)"
2010,5,60,1099 VALENCIA ST,Boogaloos,VALENCIA,ROADWAY,6,12,,"(37.7554846875, -122.420681409)"
2010,5,61,914 VALENCIA ST,Freewheel,VALENCIA,ROADWAY,6,12,,"(37.7582514482, -122.421518808)"
2010,0,62,2948 FOLSOM ST,La Cocina,FOLSOM,SIDEWALK,2,4,,"(37.7501719482, -122.414199008)"
2010,11,63,449 OCTAVIA ST,Miette Confiserie candy store,OCTAVIA,SIDEWALK,1,2,,"(37.7763929475, -122.424756009)"
2010,11,64,525 MARKET ST,Chipotle,MARKET,SIDEWALK,1,2,,"(37.7904069477, -122.399276009)"
2010,9,65,3905 SACRAMENTO ST,Doctor's office,SACRAMENTO,SIDEWALK,1,2,,"(37.786592948, -122.457195009)"
2010,11,66,49 STEVENSON ST,Yank Sing restaurant,STEVENSON,SIDEWALK,1,2,,"(37.789735948, -122.399352009)"
2010,10,67,625 LARKIN ST,Lee's Sandwiches,LARKIN,SIDEWALK,1,2,,"(37.7836239479, -122.417862009)"
2011,3,68,2700 16TH ST,Dear Mom,16TH ST,SIDEWALK,3,6,,"(37.7656989483, -122.413521009)"
2011,4,69,904 22ND ST,Rickshaw Bagworks,22ND ST,SIDEWALK,2,4,,"(37.7580319481, -122.390585008)"
2011,2,70,198 GUERRERO ST,Mission Beach Cafe,GUERRERO,SIDEWALK,1,2,,"(37.7681389483, -122.424702009)"
2011,2,71,2961 16TH ST,Victoria Theater,16TH ST,SIDEWALK,1,2,,"(37.7648589475, -122.418865008)"
2012,3,72,554 CLAYTON ST,Upper Haight Post Office,CLAYTON,SIDEWALK,1,2,,"(37.7700469481, -122.448334009)"
0,0,73,151 TOWNSEND ST,Bagel Bakery,TOWNSEND,SIDEWALK,1,2,,"(37.7792519475, -122.391369008)"
2015,1,74,1400 GUERRERO ST,26th & Guerrero Market,26TH ST,SIDEWALK,2,4,,"(37.7486325475, -122.422839009)"
2010,12,75,450 STANYAN ST,St. Mary's Hospital,STANYAN,SIDEWALK,1,2,,"(37.7740589479, -122.454188008)"
2011,6,76,3950 BALBOA ST,Irma's Richmond Market,BALBOA ST,SIDEWALK,1,2,,"(37.7757699483, -122.501453008)"
2010,12,77,2250 HAYES ST,St Mary's Hospital,HAYES,SIDEWALK,2,4,,"(37.7732409483, -122.453504009)"
2010,10,78,543 DIVISADERO ST,Club Waziema,DIVISADERO,SIDEWALK,1,2,,"(37.7746199477, -122.438054009)"
2011,8,79,130 CHURCH ST,Golden Natural Foods,CHURCH,SIDEWALK,2,4,,"(37.7688539483, -122.429443009)"
2010,12,80,None,Douglass Playground,DOUGLASS,SIDEWALK,2,4,,"(37.7478499482, -122.438280008)"
2003,0,81,100 MISSION ST,Lightening Food,MISSION,SIDEWALK,1,2,,"(37.7925359476, -122.394593009)"
2010,10,82,1900 MARKET ST,Orbit Room,MARKET,SIDEWALK,2,4,,"(37.7706409476, -122.425406009)"
2010,11,83,49 GEARY ST,Serge Serge Sorokko art gallery,GEARY,SIDEWALK,1,2,,"(37.7874319482, -122.404371008)"
2010,11,84,45 MONTGOMERY ST,24 Hour Fitness,MONTGOMERY,SIDEWALK,1,2,,"(37.7897599477, -122.402524009)"
2003,0,85,101 SPEAR ST,Rincon Center,MISSION,SIDEWALK,1,2,,"(37.792769948, -122.393590009)"
2010,11,86,33 KEARNY ST,Discount Camera,KEARNY,SIDEWALK,1,2,,"(37.7882659482, -122.403864008)"
2010,0,87,300 BARTLETT ST,Mission Library,BARTLETT,SIDEWALK,1,2,,"(37.7519714981, -122.419841109)"
2010,11,88,234 EDDY ST,Urban Health Clinic,EDDY,SIDEWALK,1,2,,"(37.7843419478, -122.411680008)"
2011,0,89,375 VALENCIA ST,Four Barrel Coffee,VALENCIA,SIDEWALK,4,8,,"(37.7670169482, -122.421772009)"
2011,5,90,2100 MARKET ST,Home Restaurant,MARKET,SIDEWALK,2,4,,"(37.7675089478, -122.429432009)"
2011,3,91,1387 VALENCIA ST,Synergy School,VALENCIA,SIDEWALK,2,4,,"(37.7508742383, -122.420199809)"
2011,3,92,3150 18TH ST,ActivSpace Treat Street Bicycle Works,18TH ST,SIDEWALK,1,2,,"(37.7626989481, -122.414256008)"
2011,11,93,333 POST ST,Johnson & Murphy,POST,SIDEWALK,1,2,,"(37.7879311678, -122.407500509)"
2011,11,94,450 SUTTER ST,Medical Dental building,SUTTER ST,SIDEWALK,1,2,,"(37.7896569478, -122.407834009)"
2011,3,95,1509 VALENCIA ST,Salvation Army,VALENCIA,SIDEWALK,1,2,,"(37.7487239483, -122.419976009)"
2012,2,96,2501 BRYANT ST,Bloodhound,BRYANT ST,SIDEWALK,3,6,,"(37.7541799479, -122.409029009)"
2012,2,97,2576 HARRISON ST,Moscone Elementry,HARRISON,SIDEWALK,1,2,,"(37.7568267883, -122.412750709)"
2012,2,98,1451 HAMPSHIRE ST,James Rolph Jr. Playground,26TH ST,SIDEWALK,1,2,,"(37.7497273582, -122.406231209)"
2000,0,99,400 MCALLISTER ST,Superior Court House,MCALLISTER,SIDEWALK,7,14,,"(37.7805189476, -122.419014009)"
2010,9,100,400 MCALLISTER ST,Superior Court House,MCALLISTER,SIDEWALK,3,6,,"(37.7805189476, -122.419014009)"
2010,7,101,1890 BRYANT ST,Coffee Bar,MARIPOSA,SIDEWALK,1,2,,"(37.763106858, -122.411034009)"
2010,7,102,3705 17TH ST,Lyttle Chiropractic,17TH ST,SIDEWALK,1,2,,"(37.7626959479, -122.428727009)"
2011,8,103,3804 17TH ST,Refried Cycles,17TH ST,SIDEWALK,1,2,,"(37.762947948, -122.431037008)"
2011,2,104,159 LINDA ST,Mission Pool,LINDA,SIDEWALK,1,2,,"(37.7593047877, -122.422387509)"
2012,2,105,2406 BRYANT ST,El Metate Taqueria,BRYANT ST,SIDEWALK,1,2,,"(37.7557609479, -122.409600009)"
2012,10,106,1081 MISSION ST,De La Paz Coffee Roasters,MISSION,SIDEWALK,2,4,,"(37.7794409479, -122.410229008)"
2011,9,107,500 CASTRO ST,Harvey's,CASTRO ST,SIDEWALK,1,2,,"(37.760681948, -122.435258009)"
2011,8,108,518 CASTRO ST,Under One Roof,CASTRO ST,SIDEWALK,1,2,,"(37.7605019483, -122.435328009)"
2010,11,109,1 FRONT ST,Office Building,FRONT,SIDEWALK,1,2,,"(37.7917569482, -122.398898009)"
2012,10,110,1085 MISSION ST,AQ Restaurant & Bar,MISSION,SIDEWALK,2,4,,"(37.7793639481, -122.410328009)"
2010,10,111,1121 MISSION ST,Asian Pacific Islander Legal Outreach,MISSION,SIDEWALK,1,2,,"(37.7786519478, -122.411230009)"
2011,3,112,900 HYDE ST,St. Francis Memorial Hospital,PINE,SIDEWALK,1,2,,"(37.7896309475, -122.416554009)"
2010,11,113,845 OFARRELL ST,residential,O'FARRELL,SIDEWALK,1,2,,"(37.7848263679, -122.418579108)"
2011,9,114,456 CASTRO ST,Qbar,CASTRO ST,SIDEWALK,1,2,,"(37.7616019475, -122.435432009)"
2011,8,115,501 CASTRO ST,Bank of America,CASTRO ST,SIDEWALK,1,2,,"(37.7606279482, -122.434701009)"
2010,10,116,500 LARKIN ST,Copy Center,LARKIN,SIDEWALK,1,2,,"(37.7826089477, -122.417126009)"
2011,3,117,560 LARKIN ST,Saigon Sandwich,LARKIN,SIDEWALK,1,2,,"(37.7831701481, -122.417224608)"
2010,9,118,1920 OCEAN AVE,Franciscan Hobby Shop,OCEAN,SIDEWALK,1,2,,"(37.7258059478, -122.462977009)"
2010,12,119,3458 18TH ST,The Mission Statement,18TH ST,SIDEWALK,1,2,,"(37.7619659478, -122.420620009)"
2010,9,120,1963 OCEAN AVE,Aquatic Central,OCEAN,SIDEWALK,1,2,,"(37.7255469475, -122.463662009)"
2010,11,121,595 MARKET ST,Chase Bank,MARKET,SIDEWALK,1,2,,"(37.789317948, -122.400655008)"
2010,9,122,1338 OCEAN AVE,El Jalepeno Restaurant,OCEAN,SIDEWALK,1,2,,"(37.7243249477, -122.457036008)"
2003,0,123,1133 MISSION ST,Asian Pacific Islander Legal,MISSION,SIDEWALK,1,2,,"(37.7783299479, -122.411516009)"
2010,9,124,1827 OCEAN AVE,Kumon Reading Center,OCEAN,SIDEWALK,1,2,,"(37.7248819476, -122.461845009)"
2010,9,125,2501 OCEAN AVE,Medical Offices,OCEAN,SIDEWALK,1,2,,"(37.7312119477, -122.472622009)"
2010,9,126,1631 OCEAN AVE,NCPS,OCEAN,SIDEWALK,1,2,,"(37.7244109479, -122.459810008)"
2010,10,127,1148 MISSION ST,Heaven's Dog,MISSION,SIDEWALK,1,2,,"(37.7787039475, -122.412634009)"
2011,5,128,2298 MARKET ST,Cafe Flore,MARKET,SIDEWALK,2,4,,"(37.7646569482, -122.432944009)"
2011,3,129,2762 FOLSOM ST,Inglesia Zion,FOLSOM,SIDEWALK,2,4,,"(37.7530729475, -122.414487008)"
2011,11,130,500 SUTTER ST,Lori's Dinner,SUTTER,SIDEWALK,1,2,,"(37.7894389483, -122.408893009)"
2011,2,131,1528 15TH ST,A Laundromat,15TH ST,SIDEWALK,1,2,,"(37.7669648483, -122.418316609)"
2011,6,132,393 ASHTON AVE,Barber Shop,ASHTON,SIDEWALK,1,2,,"(37.7250303076, -122.462498108)"
2011,2,133,217 14TH ST,John's Wash and Dry,14TH ST,SIDEWALK,1,2,,"(37.7681879478, -122.418257009)"
2011,3,134,1779 FOLSOM ST,Nihon,FOLSOM,SIDEWALK,1,2,,"(37.7686969481, -122.415290009)"
0,0,135,300 MONTGOMERY ST,Walgreens,MONTGOMERY,SIDEWALK,1,2,,"(37.7923459483, -122.402385009)"
2010,10,136,500 FELL ST,Il Borgo,FELL,SIDEWALK,1,2,,"(37.775697948, -122.426280009)"
2010,9,137,2261 FILLMORE ST,Clay Theatre,FILLMORE,SIDEWALK,1,2,,"(37.7904559481, -122.434480008)"
2010,9,138,2455 FILLMORE ST,Tully's Coffee,FILLMORE,SIDEWALK,1,2,,"(37.7922909477, -122.434585008)"
2011,6,139,859 PRAGUE ST,Guadalupe Elementary School,PRAGUE,SIDEWALK,1,2,,"(37.7101829476, -122.434031009)"
2011,11,140,501 OFARRELL ST,Pakwan Restaurant,O'FARRELL,SIDEWALK,1,2,,"(37.7855456682, -122.413138709)"
2010,7,141,3579 17TH ST,Studio For Urban Projects,17TH ST,SIDEWALK,1,2,,"(37.7628989475, -122.425616008)"
2011,2,142,599 GUERRERO ST,Pay N Save store,GUERRERO,SIDEWALK,1,2,,"(37.7617679478, -122.423615009)"
2003,0,143,123 MISSION ST,multiple,MISSION,SIDEWALK,1,2,,"(37.791881948, -122.394339008)"
2002,0,144,1235 MISSION ST,multiple,MISSION,SIDEWALK,1,2,,"(37.776660278, -122.413521409)"
2010,9,145,3848 GEARY BLVD,Buckshot Bar and Gameroom,GEARY,SIDEWALK,1,2,,"(37.7814839476, -122.460856008)"
2010,12,146,1286 SANCHEZ ST,Family Practice doctor's office,SANCHEZ,SIDEWALK,1,2,,"(37.7485789481, -122.429637008)"
2011,3,147,160 14TH ST,Cafe Gratitude,14TH ST,SIDEWALK,1,2,,"(37.7686969478, -122.417032008)"
2010,0,148,2790 HARRISON ST,Humphrey Slocombe,HARRISON,SIDEWALK,1,2,,"(37.7527989478, -122.412202008)"
2011,11,149,625 SUTTER ST,Academy of Art University,SUTTER,SIDEWALK,2,4,,"(37.7887229479, -122.410677008)"
2011,11,150,749 TAYLOR ST,Academy of Art University,TAYLOR,SIDEWALK,2,4,,"(37.7893729479, -122.412368009)"
2010,10,151,1108 MARKET ST,Renoir Hotel,MARKET,SIDEWALK,3,6,,"(37.7809009482, -122.412470009)"
2010,12,152,1095 HYDE ST,Cala Foods,HYDE,SIDEWALK,2,4,,"(37.7906159478, -122.417821008)"
2011,3,153,1498 VALENCIA ST,Dovre Club,VALENCIA,SIDEWALK,1,2,,"(37.749026118, -122.420664009)"
2011,2,154,233 14TH ST,Om Shan Tea,14TH ST,SIDEWALK,1,2,,"(37.7681549478, -122.418647008)"
2013,1,155,764 HARRISON ST,Epicenter Cafe,HARRISON,SIDEWALK,2,4,,"(37.7816499482, -122.399117009)"
2011,1,156,816 DIAMOND ST,Kangaroos Play & Learn Activity Center,DIAMOND,SIDEWALK,1,2,,"(37.7508479478, -122.436551008)"
2010,10,157,3050 TARAVAL ST,Vanida Thai Kitchen restaurant,TARAVAL,SIDEWALK,1,2,,"(37.7422709375, -122.499016408)"
2004,0,158,1235 MISSION ST,multiple,MISSION,SIDEWALK,1,2,,"(37.7766599483, -122.413521009)"
2012,3,159,2801 GEARY BLVD,The Pig and Whistle Bar and Restaurant,GEARY,SIDEWALK,1,2,,"(37.7818879478, -122.449142009)"
2010,10,160,1760 MARKET ST,Rebel Bar,MARKET,SIDEWALK,1,2,,"(37.7725439482, -122.423102008)"
2010,0,161,1 STOCKTON ST,Apple Store,STOCKTON,SIDEWALK,1,2,,"(37.7858519482, -122.406529009)"
2010,9,162,1256 MISSION ST,Sparc,MISSION,SIDEWALK,1,2,,"(37.7769609483, -122.414225009)"
2011,11,163,1000 VAN NESS AVE,AMC Theater,VAN NESS,SIDEWALK,2,4,,"(37.7851719482, -122.420018009)"
2010,12,164,3520 20TH ST,Comics and Art Businesses,20TH ST,SIDEWALK,2,4,,"(37.7588369482, -122.419665009)"
2010,9,165,2115 VAN NESS AVE,Eyebrows To Die For,VAN NESS,SIDEWALK,1,2,,"(37.7949649476, -122.423380009)"
2011,2,166,3385 22ND ST,Hazel & Gertie's Store,22ND ST,SIDEWALK,1,2,,"(37.7549479477, -122.422801008)"
2012,4,167,251 RHODE ISLAND ST,Office Building and Gallery,RHODE ISLAND,SIDEWALK,2,4,,"(37.7667519477, -122.402438009)"
2010,9,168,1260 MISSION ST,Cannabis Club,MISSION,SIDEWALK,1,2,,"(37.7769609483, -122.414225009)"
2010,10,169,601 BAKER ST,Chile Pies & Ice Cream,BAKER,SIDEWALK,2,4,,"(37.776538948, -122.441854009)"
2011,4,170,1325 INDIANA ST,Dekko Salon,INDIANA,SIDEWALK,1,2,,"(37.7536799478, -122.390415008)"
2011,2,171,225 VALENCIA ST,SF Independent Living Skills Program,VALENCIA,SIDEWALK,1,2,,"(37.7694419483, -122.422042009)"
2010,10,172,540 VAN NESS AVE,US Bank,VAN NESS,SIDEWALK,1,2,,"(37.780831948, -122.419943009)"
2011,1,173,2111 JENNINGS ST,Homeless shelter,JENNINGS,SIDEWALK,2,4,,"(37.7267279483, -122.388658009)"
2011,1,174,1555 YOSEMITE AVE,Yosemite Business Center,YOSEMITE,SIDEWALK,1,2,,"(37.7260059475, -122.391017009)"
2010,11,175,1714 FILLMORE ST,Marcus Bookstore,FILLMORE,SIDEWALK,1,2,,"(37.7854719481, -122.432865009)"
2010,10,176,201 OCTAVIA ST,Mercury Cafe,OCTAVIA,SIDEWALK,1,2,,"(37.7739929478, -122.424323009)"
2011,4,177,1100 CESAR CHAVEZ ST,Veritable Vegetable,CESAR CHAVEZ,SIDEWALK,1,2,,"(37.7504529475, -122.389020009)"
2011,5,178,2124 MARKET ST,Blackbird Bar,MARKET,SIDEWALK,1,2,,"(37.7673389476, -122.429690009)"
2010,11,179,685 MARKET ST,Yocup Yogurt,MARKET,SIDEWALK,1,2,,"(37.7876459482, -122.402759008)"
2011,1,180,1000 COLE ST,La Boulange Cafe & Bakery,COLE,SIDEWALK,2,4,,"(37.7647689475, -122.449454009)"
2011,4,181,543 COLUMBUS AVE,La Boulange Cafe & Bakery,COLUMBUS,SIDEWALK,1,2,,"(37.7996689476, -122.409665008)"
2011,9,182,4094 18TH ST,Starbucks,18TH ST,SIDEWALK,1,2,,"(37.7610949483, -122.434701009)"
2012,5,183,3600 SACRAMENTO ST,Bathsense,SACRAMENTO,SIDEWALK,1,2,,"(37.7877605879, -122.452174009)"
2011,1,184,1555 GALVEZ AVE,Nueva Castilla Company,GALVEZ,SIDEWALK,1,2,,"(37.7401589482, -122.387337009)"
2012,2,185,1028 POTRERO AVE,La Paz Restaurant,POTRERO,SIDEWALK,1,2,,"(37.755609948, -122.406929008)"
2010,12,186,380 BACON ST,Portola Branch Library,BACON,SIDEWALK,1,2,,"(37.727113948, -122.406362009)"
0,0,187,1321 MISSION ST,vacant,MISSION,SIDEWALK,1,2,,"(37.7759961979, -122.414760708)"
2010,9,188,1735 OCEAN AVE,Ocean Avenue Books,OCEAN,SIDEWALK,1,2,,"(37.7245709479, -122.460781009)"
2011,4,189,16 SHERMAN ST,New Nothing Cinema,SHERMAN,SIDEWALK,1,2,,"(37.776935948, -122.406713008)"
2010,7,190,450 FLORIDA ST,Theater Artaud and Travelling Jewish Theater,FLORIDA,SIDEWALK,2,4,,"(37.7635829482, -122.411751009)"
2010,9,191,201 VAN NESS AVE,Davies Symphony Hall,VAN NESS,SIDEWALK,2,4,,"(37.7774409479, -122.419994009)"
2012,4,192,323 POTRERO AVE,SF Guitarworks,POTRERO,SIDEWALK,1,2,,"(37.7653849483, -122.407164009)"
2010,11,193,170 GRANT AVE,Cannell Capital,GRANT,SIDEWALK,1,2,,"(37.7885489482, -122.404963009)"
2010,0,194,4334 CALIFORNIA ST,6th Avenue Salon,CALIFORNIA ST,SIDEWALK,1,2,,"(37.7853129482, -122.464096008)"
2013,4,195,1339 MISSION ST,City Aikado,Mission,SIDEWALK,1,2,,"(37.7756029479, -122.415028008)"
2012,9,196,1370 MISSION ST,Advance English Academy,MISSION,SIDEWALK,1,2,,"(37.7757379482, -122.415736008)"
2010,11,197,747 HOWARD ST,Moscone Center,HOWARD,SIDEWALK,3,6,,"(37.7835129483, -122.400813009)"
2010,10,198,144 PAGE ST,Nick's Supermarket,PAGE,SIDEWALK,2,4,,"(37.7742429482, -122.423232009)"
2010,9,199,3838 CALIFORNIA ST,CPMC,CALIFORNIA ST,SIDEWALK,1,2,,"(37.7861859477, -122.457598008)"
2010,10,200,579 HAYES ST,Frjtz Gourmet Belgian Fies,HAYES,SIDEWALK,1,2,,"(37.7762639483, -122.425767009)"
2010,11,201,180 STEUART ST,USPS,STEUART,SIDEWALK,1,2,,"(37.7922490982, -122.392251409)"
2011,3,202,350 ALABAMA ST,Addiction Salon,ALABAMA,SIDEWALK,1,2,,"(37.7648159483, -122.412601009)"
0,0,203,1370 MISSION ST,Advance English Academy,MISSION,SIDEWALK,1,2,,"(37.7757379482, -122.415736008)"
2013,11,204,835 MARKET ST,San Francisco State Downtown Campus,MARKET,SIDEWALK,1,2,,"(37.7843966978, -122.406404009)"
2011,6,205,235 CORTLAND AVE,Avedano's Meats,CORTLAND,SIDEWALK,1,2,,"(37.7396449478, -122.418871009)"
2011,8,206,4001 18TH ST,Kasa Indian Eatery,18TH ST,SIDEWALK,1,2,,"(37.760819948, -122.432958008)"
2010,10,207,66 GOUGH ST,Fecal Face Dot Gallery,GOUGH,SIDEWALK,1,2,,"(37.7734274879, -122.422063008)"
2011,3,208,1360 VALENCIA ST,Painted Bird - Clothing,VALENCIA,SIDEWALK,1,2,,"(37.751053948, -122.420858009)"
2012,4,209,600 THE EMBARCADERO,Delancy Street Restaurant,EMBARCADERO,SIDEWALK,2,4,,"(37.7834859483, -122.388893009)"
2012,7,210,3111 24TH ST,Local Mission Eatery,24TH ST,SIDEWALK,1,2,,"(37.7522509475, -122.414447009)"
2012,3,211,50 CLEMENT ST,Eats,CLEMENT,SIDEWALK,2,4,,"(37.7833009476, -122.459883009)"
2010,9,212,1436 HOWARD ST,PariSoma Innovation Loft,HOWARD,SIDEWALK,2,4,,"(37.7738349483, -122.415075009)"
2012,9,213,1372 MISSION ST,St. James Infirmary,MISSION,SIDEWALK,1,2,,"(37.775738168, -122.415736009)"
2011,4,214,180 MONTGOMERY ST,Bank of the West,MONTGOMERY,SIDEWALK,1,2,,"(37.7907359483, -122.401969008)"
2010,10,215,901 DIVISADERO ST,Oasis Cafe,DIVISADERO,SIDEWALK,2,4,,"(37.7779159476, -122.438709009)"
2011,3,216,1398 VALENCIA ST,Women's Initiative for Self Employment,VALENCIA,SIDEWALK,1,2,,"(37.7506489483, -122.420820009)"
2011,8,217,3988 18TH ST,Last Call bar,18TH ST,SIDEWALK,1,2,,"(37.761192128, -122.432560409)"
